Ravensburg, Stadt;88212;  92,05; 50 095; 24 683; 25 412
Bad Kreuznach, Stadt;55545;  55,56; 50 034; 23 729; 26 305
Peine, Stadt;31224;  119,84; 49 676; 24 507; 25 169
Böblingen, Stadt;71032;  39,04; 49 611; 24 416; 25 195
Erftstadt, Stadt;50374;  119,89; 49 513; 24 033; 25 480
Elmshorn, Stadt;25335;  21,37; 49 206; 24 084; 25 122
Lörrach, Stadt;79539;  39,37; 49 153; 23 676; 25 477
Bad Oeynhausen, Stadt;32545;  64,83; 48 846; 23 855; 24 991
Heidenheim an der Brenz, Stadt;89522;  107,09; 48 709; 24 145; 24 564
Cuxhaven, Stadt;27472;  161,92; 48 551; 23 048; 25 503
Bergkamen, Stadt;59192;  44,90; 48 543; 23 947; 24 596
Rheda-Wiedenbrück, Stadt;33378;  86,72; 48 526; 24 273; 24 253
Rastatt, Stadt;76437;  58,98; 48 494; 23 980; 24 514
Frankenthal (Pfalz), Stadt;67227;  43,88; 48 445; 23 483; 24 962
Freising, GKSt;85354;  88,59; 47 848; 24 051; 23 797
Bornheim, Stadt;53332;  82,69; 47 749; 23 342; 24 407
Leonberg, Stadt;71229;  48,73; 47 744; 23 707; 24 037
Singen (Hohentwiel), Stadt;78224;  61,77; 47 603; 23 154; 24 449
Soest, Stadt;59494;  85,81; 47 436; 22 876; 24 560
Gronau (Westf.), Stadt;48599;  78,82; 47 287; 23 547; 23 740
Hennef (Sieg), Stadt;53773;  105,89; 47 237; 23 043; 24 194
Stade, Hansestadt;21682;  110,07; 47 194; 23 073; 24 121
Straubing;94315;  67,59; 47 142; 23 683; 23 459
Dachau, GKSt;85221;  34,96; 46 914; 23 000; 23 914
Neunkirchen, Kreisstadt;66538;  75,26; 46 816; 23 072; 23 744
Schwerte, Hansestadt an der Ruhr;58239;  56,23; 46 754; 22 810; 23 944
Alsdorf, Stadt;52477;  31,68; 46 712; 23 160; 23 552
Herzogenrath, Stadt;52134;  33,38; 46 612; 22 692; 23 920
Dülmen, Stadt;48249;  184,83; 46 523; 22 627; 23 896
Wittenberg, Lutherstadt;06886;  240,41; 46 276; 22 320; 23 956
Melle, Stadt;49324;  253,95; 46 228; 22 900; 23 328
Landau in der Pfalz, Stadt;76829;  82,94; 46 006; 21 759; 24 247
Oberursel (Taunus), Stadt;61440;  45,37; 45 849; 22 195; 23 654
Lahr/Schwarzwald, Stadt;77933;  69,84; 45 784; 22 740; 23 044
Bünde, Stadt;32257;  59,30; 45 639; 22 245; 23 394
Fellbach, Stadt;70734;  27,71; 45 438; 22 007; 23 431
Filderstadt, Stadt;70794;  38,55; 45 389; 22 513; 22 876
Hof;95028;  58,02; 45 183; 21 631; 23 552
Gotha, Stadt;99867;  69,58; 45 172; 22 206; 22 966
Weinheim, Stadt;69469;  58,11; 44 954; 21 954; 23 000
Albstadt, Stadt;72458;  134,40; 44 696; 22 020; 22 676
Rodgau, Stadt;63110;  65,04; 44 465; 22 086; 22 379
Erkrath, Fundort des Neanderthalers, Stadt;40699;  26,88; 44 413; 21 369; 23 044
Brühl, Stadt;50321;  36,12; 44 294; 21 130; 23 164
Bruchsal, Stadt;76646;  93,19; 44 266; 22 208; 22 058
Rottenburg am Neckar, Stadt;72108;  142,26; 44 203; 22 135; 22 068
Oranienburg, Stadt;16515;  163,66; 44 079; 21 618; 22 461
Neustadt am Rübenberge, Stadt;31535;  358,96; 43 902; 21 771; 22 131
Lehrte, Stadt;31275;  127,67; 43 720; 21 685; 22 035
Kamen, Stadt;59174;  40,95; 43 672; 21 423; 22 249
Erkelenz, Stadt;41812;  117,34; 43 388; 21 204; 22 184
Memmingen;87700;  70,11; 43 293; 21 331; 21 962
Kaarst, Stadt;41564;  37,39; 43 218; 20 748; 22 470
Kaufbeuren;87600;  40,02; 43 134; 21 192; 21 942
Falkensee, Stadt;14612;  43,27; 43 105; 21 107; 21 998
